1.0000,-0.0000,-0.6369,-0.0000,-0.3123,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
-0.0000,1.0000,-0.0001,-0.0011,-0.0003,-0.0018,-0.0003,-0.0102,-0.0119,-0.0006
-0.6369,-0.0001,1.0000,-0.0000,-0.5333,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
-0.0000,-0.0011,-0.0000,1.0000,-0.0000,-0.9986,-0.0009,-0.0000,-0.0000,-0.0018
-0.3123,-0.0003,-0.5333,-0.0000,1.0000,-0.0001,-0.0000,-0.0000,-0.0000,-0.0001
-0.0000,-0.0018,-0.0000,-0.9986,-0.0001,1.0000,-0.0004,-0.0000,-0.0000,-0.0010
-0.0000,-0.0003,-0.0000,-0.0009,-0.0000,-0.0004,1.0000,-0.0000,-0.0000,-0.9964
-0.0000,-0.0102,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,1.0000,-0.9997,-0.0000
-0.0000,-0.0119,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.9997,1.0000,-0.0000
-0.0000,-0.0006,-0.0000,-0.0018,-0.0001,-0.0010,-0.9964,-0.0000,-0.0000,1.0000
